subset_key,timestamp,rides,season,year_index,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed
spring,2011-01-01 22:00:00,28,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239
spring,2011-01-01 23:00:00,39,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985
spring,2011-01-02 00:00:00,17,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985
spring,2011-01-02 01:00:00,17,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537
spring,2011-01-02 02:00:00,9,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836
spring,2011-01-02 03:00:00,6,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194
spring,2011-01-02 04:00:00,3,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194
spring,2011-01-02 06:00:00,2,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985
spring,2011-01-02 07:00:00,1,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194
spring,2011-01-02 08:00:00,8,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239
spring,2011-01-02 09:00:00,20,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239
spring,2011-01-02 10:00:00,53,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239
spring,2011-01-02 11:00:00,70,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537
spring,2011-01-02 12:00:00,93,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985
spring,2011-01-02 13:00:00,75,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343
spring,2011-01-02 14:00:00,59,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194
spring,2011-01-02 15:00:00,74,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642
spring,2011-01-02 16:00:00,76,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642
spring,2011-01-02 17:00:00,65,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194
spring,2011-01-02 18:00:00,53,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284
spring,2011-01-02 19:00:00,30,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478
spring,2011-01-02 20:00:00,22,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582
spring,2011-01-02 21:00:00,31,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284
spring,2011-01-02 22:00:00,9,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985
spring,2011-01-02 23:00:00,8,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642
spring,2011-01-03 00:00:00,5,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582
spring,2011-01-03 01:00:00,2,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179
spring,2011-01-03 04:00:00,1,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881
spring,2011-01-03 05:00:00,3,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836
spring,2011-01-03 06:00:00,30,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881
spring,2011-01-03 07:00:00,64,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194
spring,2011-01-03 08:00:00,154,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836
spring,2011-01-03 09:00:00,88,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881
spring,2011-01-03 10:00:00,44,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537
spring,2011-01-03 11:00:00,51,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284
spring,2011-01-03 12:00:00,61,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985
spring,2011-01-03 13:00:00,61,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836
spring,2011-01-03 14:00:00,77,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836
spring,2011-01-03 15:00:00,72,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537
spring,2011-01-03 16:00:00,76,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537
spring,2011-01-03 17:00:00,157,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239
spring,2011-01-03 18:00:00,157,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045
spring,2011-01-03 19:00:00,110,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0
spring,2011-01-03 20:00:00,52,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045
spring,2011-01-03 21:00:00,52,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343
spring,2011-01-03 22:00:00,20,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343
spring,2011-01-03 23:00:00,12,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045
spring,2011-01-04 00:00:00,5,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045
spring,2011-01-04 01:00:00,2,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045
spring,2011-01-04 02:00:00,1,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343
spring,2011-01-04 04:00:00,2,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896
spring,2011-01-04 05:00:00,4,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045
spring,2011-01-04 06:00:00,36,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
spring,2011-01-04 07:00:00,94,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343
spring,2011-01-04 08:00:00,179,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642
spring,2011-01-04 09:00:00,100,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239
spring,2011-01-04 10:00:00,42,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284
spring,2011-01-04 11:00:00,57,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985
spring,2011-01-04 12:00:00,78,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642
spring,2011-01-04 13:00:00,97,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194
spring,2011-01-04 14:00:00,63,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239
spring,2011-01-04 15:00:00,65,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537
spring,2011-01-04 16:00:00,83,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537
spring,2011-01-04 17:00:00,212,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
spring,2011-01-04 18:00:00,182,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194
spring,2011-01-04 19:00:00,112,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045
spring,2011-01-04 20:00:00,54,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
spring,2011-01-04 21:00:00,48,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0
spring,2011-01-04 22:00:00,35,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896
spring,2011-01-04 23:00:00,11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896
spring,2011-01-05 00:00:00,6,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0
spring,2011-01-05 01:00:00,6,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896
spring,2011-01-05 02:00:00,2,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896
spring,2011-01-05 04:00:00,2,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239
spring,2011-01-05 05:00:00,3,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642
spring,2011-01-05 06:00:00,33,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239
spring,2011-01-05 07:00:00,88,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194
spring,2011-01-05 08:00:00,195,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985
spring,2011-01-05 09:00:00,115,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284
spring,2011-01-05 10:00:00,57,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284
spring,2011-01-05 11:00:00,46,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284
spring,2011-01-05 12:00:00,79,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284
spring,2011-01-05 13:00:00,71,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985
spring,2011-01-05 14:00:00,62,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194
spring,2011-01-05 15:00:00,62,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194
spring,2011-01-05 16:00:00,89,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896
spring,2011-01-05 17:00:00,190,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194
spring,2011-01-05 18:00:00,169,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343
spring,2011-01-05 19:00:00,132,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045
spring,2011-01-05 20:00:00,89,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642
spring,2011-01-05 21:00:00,43,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194
spring,2011-01-05 22:00:00,42,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343
spring,2011-01-05 23:00:00,19,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0
spring,2011-01-06 00:00:00,11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0
spring,2011-01-06 01:00:00,4,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0
spring,2011-01-06 02:00:00,2,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0
spring,2011-01-06 04:00:00,1,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896
spring,2011-01-06 05:00:00,4,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896
spring,2011-01-06 06:00:00,36,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045
spring,2011-01-06 07:00:00,95,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0
spring,2011-01-06 08:00:00,219,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0
spring,2011-01-06 09:00:00,122,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0
spring,2011-01-06 10:00:00,45,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0
spring,2011-01-06 11:00:00,59,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896
spring,2011-01-06 12:00:00,84,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0
spring,2011-01-06 13:00:00,67,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045
spring,2011-01-06 14:00:00,70,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642
spring,2011-01-06 15:00:00,62,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0
spring,2011-01-06 16:00:00,86,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642
spring,2011-01-06 17:00:00,172,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642
spring,2011-01-06 18:00:00,163,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343
spring,2011-01-06 19:00:00,112,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896
spring,2011-01-06 20:00:00,69,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642
spring,2011-01-06 21:00:00,48,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239
spring,2011-01-06 22:00:00,52,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836
spring,2011-01-06 23:00:00,23,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194
spring,2011-01-07 00:00:00,17,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194
spring,2011-01-07 01:00:00,7,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239
spring,2011-01-07 02:00:00,1,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239
spring,2011-01-07 04:00:00,1,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343
spring,2011-01-07 05:00:00,5,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0
spring,2011-01-07 06:00:00,34,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0
spring,2011-01-07 07:00:00,84,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343
spring,2011-01-07 08:00:00,210,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537
spring,2011-01-07 09:00:00,134,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985
spring,2011-01-07 10:00:00,63,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284
spring,2011-01-07 11:00:00,67,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239
spring,2011-01-07 12:00:00,59,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537
spring,2011-01-07 13:00:00,73,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836
spring,2011-01-07 14:00:00,50,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537
spring,2011-01-07 15:00:00,72,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642
spring,2011-01-07 16:00:00,87,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642
spring,2011-01-07 17:00:00,187,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0
spring,2011-01-07 18:00:00,123,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896
spring,2011-01-07 19:00:00,95,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896
spring,2011-01-07 20:00:00,51,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045
spring,2011-01-07 21:00:00,39,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343
spring,2011-01-07 22:00:00,36,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642
spring,2011-01-07 23:00:00,15,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642
spring,2011-01-08 00:00:00,25,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642
spring,2011-01-08 01:00:00,16,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896
spring,2011-01-08 02:00:00,16,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0
spring,2011-01-08 03:00:00,7,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642
spring,2011-01-08 04:00:00,1,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642
spring,2011-01-08 05:00:00,5,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642
spring,2011-01-08 06:00:00,2,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642
spring,2011-01-08 07:00:00,9,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045
spring,2011-01-08 08:00:00,15,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045
spring,2011-01-08 09:00:00,20,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045
spring,2011-01-08 10:00:00,61,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642
spring,2011-01-08 11:00:00,62,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881
spring,2011-01-08 12:00:00,98,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582
spring,2011-01-08 13:00:00,102,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284
spring,2011-01-08 14:00:00,95,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925
spring,2011-01-08 15:00:00,74,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478
spring,2011-01-08 16:00:00,76,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478
spring,2011-01-08 17:00:00,69,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522
spring,2011-01-08 18:00:00,55,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985
spring,2011-01-08 19:00:00,30,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537
spring,2011-01-08 20:00:00,28,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537
spring,2011-01-08 21:00:00,37,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582
spring,2011-01-08 22:00:00,34,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881
spring,2011-01-08 23:00:00,22,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478
spring,2011-01-09 00:00:00,25,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881
spring,2011-01-09 01:00:00,12,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627
spring,2011-01-09 02:00:00,11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627
spring,2011-01-09 03:00:00,4,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179
spring,2011-01-09 04:00:00,1,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194
spring,2011-01-09 05:00:00,1,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194
spring,2011-01-09 06:00:00,1,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836
spring,2011-01-09 07:00:00,6,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194
spring,2011-01-09 08:00:00,10,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836
spring,2011-01-09 09:00:00,19,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224
spring,2011-01-09 10:00:00,49,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881
spring,2011-01-09 11:00:00,49,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224
spring,2011-01-09 12:00:00,83,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478
spring,2011-01-09 13:00:00,75,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478
spring,2011-01-09 14:00:00,72,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627
spring,2011-01-09 15:00:00,82,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582
spring,2011-01-09 16:00:00,92,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478
spring,2011-01-09 17:00:00,62,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881
spring,2011-01-09 18:00:00,48,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284
spring,2011-01-09 19:00:00,41,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284
spring,2011-01-09 20:00:00,38,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537
spring,2011-01-09 21:00:00,20,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179
spring,2011-01-09 22:00:00,15,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985
spring,2011-01-09 23:00:00,6,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194
spring,2011-01-10 00:00:00,5,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836
spring,2011-01-10 01:00:00,1,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836
spring,2011-01-10 02:00:00,3,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239
spring,2011-01-10 03:00:00,1,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239
spring,2011-01-10 04:00:00,3,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343
spring,2011-01-10 05:00:00,3,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537
spring,2011-01-10 06:00:00,31,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836
spring,2011-01-10 07:00:00,77,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239
spring,2011-01-10 08:00:00,188,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836
spring,2011-01-10 09:00:00,94,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537
spring,2011-01-10 10:00:00,31,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985
spring,2011-01-10 11:00:00,30,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836
spring,2011-01-10 12:00:00,52,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836
spring,2011-01-10 13:00:00,54,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836
spring,2011-01-10 14:00:00,47,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239
spring,2011-01-10 15:00:00,45,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239
spring,2011-01-10 16:00:00,74,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343
spring,2011-01-10 17:00:00,178,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045
spring,2011-01-10 18:00:00,155,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239
spring,2011-01-10 19:00:00,95,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642
spring,2011-01-10 20:00:00,74,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642
spring,2011-01-10 21:00:00,38,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194
spring,2011-01-10 22:00:00,24,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642
spring,2011-01-10 23:00:00,18,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642
spring,2011-01-11 00:00:00,12,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045
spring,2011-01-11 01:00:00,3,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642
spring,2011-01-11 02:00:00,3,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194
spring,2011-01-11 05:00:00,6,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343
spring,2011-01-11 06:00:00,27,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343
spring,2011-01-11 07:00:00,99,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0
spring,2011-01-11 08:00:00,217,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896
spring,2011-01-11 09:00:00,130,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642
spring,2011-01-11 10:00:00,54,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642
spring,2011-01-11 11:00:00,35,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343
spring,2011-01-11 12:00:00,57,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045
spring,2011-01-11 13:00:00,52,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896
spring,2011-01-11 14:00:00,63,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896
spring,2011-01-11 15:00:00,47,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896
spring,2011-01-11 16:00:00,76,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239
spring,2011-01-11 17:00:00,136,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239
spring,2011-01-11 18:00:00,95,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045
spring,2011-01-11 19:00:00,51,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0
spring,2011-01-11 20:00:00,32,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194
spring,2011-01-11 21:00:00,20,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896
spring,2011-01-11 22:00:00,29,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045
spring,2011-01-11 23:00:00,19,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896
spring,2011-01-12 00:00:00,7,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896
spring,2011-01-12 01:00:00,6,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045
spring,2011-01-12 02:00:00,1,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343
spring,2011-01-12 05:00:00,5,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642
spring,2011-01-12 06:00:00,16,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343
spring,2011-01-12 07:00:00,54,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343
spring,2011-01-12 08:00:00,128,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642
spring,2011-01-12 09:00:00,81,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284
spring,2011-01-12 10:00:00,39,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239
spring,2011-01-12 11:00:00,35,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881
spring,2011-01-12 12:00:00,55,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821
spring,2011-01-12 13:00:00,49,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582
spring,2011-01-12 14:00:00,44,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284
