subset_key,row_id,label,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0_2,74,137500.0,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483
5_0,75,177500.0,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241
6_2,76,102100.0,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464
1_0,77,108300.0,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111
3_0,78,112500.0,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026
0_1,79,131300.0,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114
2_0,80,162500.0,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5
0_0,81,112500.0,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667
0_0,82,112500.0,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208
0_0,83,137500.0,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075
0_0,84,118800.0,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088
0_2,85,98200.0,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083
4_0,86,118800.0,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977
3_0,87,162500.0,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76
0_0,88,137500.0,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722
0_0,89,500001.0,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434
4_1,90,162500.0,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938
0_0,91,137500.0,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668
0_0,92,162500.0,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75
2_2,93,187500.0,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354
5_0,94,179200.0,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477
9_1,95,130000.0,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096
9_3,96,183800.0,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345
0_1,97,125000.0,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062
9_0,98,170000.0,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185
9_2,99,193100.0,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104
9_2,100,257800.0,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912
9_4,101,273400.0,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177
1_3,102,237500.0,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125
7_2,103,350000.0,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795
9_3,104,335700.0,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406
1_7,105,313400.0,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306
5_4,106,268500.0,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727
5_4,107,259400.0,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691
8_5,108,275700.0,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9
8_5,109,225000.0,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063
1_7,110,262500.0,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917
9_2,111,218500.0,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429
9_3,112,255000.0,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233
6_4,113,224100.0,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484
5_4,114,243100.0,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722
2_4,115,231600.0,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429
9_2,116,218500.0,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234
9_3,117,234100.0,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897
4_8,118,327600.0,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596
6_8,119,347600.0,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868
4_8,120,366100.0,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956
0_7,121,335000.0,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643
4_9,122,373600.0,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434
7_8,123,389500.0,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773
4_9,124,391100.0,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354
9_8,125,337300.0,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457
6_9,126,295200.0,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5
7_8,127,292300.0,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194
7_9,128,411500.0,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544
3_8,129,311500.0,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666
6_9,130,325900.0,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548
1_9,131,392600.0,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017
5_9,132,319300.0,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882
8_9,133,333300.0,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976
1_9,134,335200.0,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049
1_9,135,351200.0,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401
2_9,136,368900.0,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538
2_9,137,365900.0,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317
0_9,138,366700.0,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175
6_9,139,362800.0,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302
0_9,140,483300.0,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624
3_9,141,331400.0,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549
5_9,142,323500.0,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851
6_3,143,216700.0,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929
6_3,144,233100.0,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812
1_8,145,296400.0,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402
3_9,146,273700.0,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217
5_4,147,227700.0,-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632
5_3,148,199600.0,-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298
6_7,149,239800.0,-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428
3_6,150,270100.0,-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072
6_8,151,302100.0,-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509
5_4,152,269500.0,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603
1_7,153,314700.0,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708
4_9,154,390100.0,-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564
2_9,155,410300.0,-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793
3_9,156,352400.0,-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591
2_8,157,287300.0,-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302
3_9,158,348700.0,-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508
6_3,159,243800.0,-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477
0_1,160,211500.0,-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944
6_3,161,218400.0,-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149
6_5,162,269900.0,-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675
8_4,163,218800.0,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225
9_3,164,225000.0,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345
8_1,165,250000.0,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429
5_0,166,171400.0,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121
8_0,167,193800.0,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929
5_1,168,125000.0,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173
5_0,169,97500.0,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772
1_2,170,125000.0,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458
4_1,171,138800.0,-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181
6_1,172,116700.0,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303
7_0,173,151800.0,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504
1_1,174,127000.0,-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697
3_1,175,128600.0,-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563
3_1,176,140600.0,-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348
7_2,177,182700.0,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292
2_2,178,146900.0,-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833
4_3,179,122800.0,-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957
8_2,180,169300.0,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238
1_1,181,126600.0,-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375
4_0,182,127900.0,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028
5_1,183,123500.0,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25
2_2,184,111900.0,-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929
9_1,185,112800.0,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917
5_3,186,107900.0,-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357
2_0,187,137500.0,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854
4_1,188,105500.0,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638
2_1,189,95500.0,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125
0_4,190,116100.0,-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375
4_1,191,112200.0,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542
0_1,192,75000.0,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1
0_0,193,112500.0,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6
1_5,194,125000.0,-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625
8_0,195,115000.0,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929
0_0,196,95000.0,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471
2_2,197,96400.0,-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59
0_2,198,72000.0,-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57
0_2,199,71300.0,-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429
1_3,200,80800.0,-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257
6_0,201,128800.0,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886
5_1,202,112500.0,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338
2_0,203,119400.0,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844
8_0,204,118100.0,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009
3_1,205,122500.0,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375
1_1,206,106300.0,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293
6_1,207,132500.0,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494
0_0,208,122700.0,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198
0_0,209,113300.0,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281
2_4,210,109500.0,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156
8_5,211,164700.0,-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048
1_3,212,125000.0,-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893
6_2,213,124700.0,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042
5_2,214,136700.0,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5
7_3,215,141700.0,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969
3_3,216,150000.0,-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321
2_3,217,138800.0,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583
6_3,218,139200.0,-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365
4_3,219,143800.0,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875
5_3,220,156500.0,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682
5_3,221,151000.0,-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757
5_7,222,273000.0,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559
2_7,223,217100.0,-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721
8_4,224,187100.0,-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861
3_8,225,239600.0,-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184
1_6,226,229700.0,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977
1_7,227,257300.0,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744
3_6,228,246900.0,-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727
0_3,229,179900.0,-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844
1_6,230,169600.0,-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739
4_5,231,203300.0,-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487
2_6,232,263400.0,-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114
5_7,233,231800.0,-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563
8_3,234,140500.0,-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297
4_1,235,126000.0,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036
1_2,236,122000.0,-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667
6_2,237,134700.0,-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619
6_2,238,139400.0,-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167
6_3,239,115400.0,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788
7_2,240,137300.0,-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352
2_0,241,137000.0,-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472
1_2,242,142600.0,-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583
1_3,243,137500.0,-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536
7_2,244,111700.0,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906
4_0,245,126800.0,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188
1_2,246,111300.0,-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625
0_3,247,114800.0,-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015
5_0,248,102300.0,-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276
6_1,249,131900.0,-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801
4_2,250,119100.0,-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489
2_0,251,80600.0,-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546
0_6,252,80600.0,-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904
0_2,253,88800.0,-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765
6_2,254,102400.0,-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338
3_1,255,98700.0,-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309
2_1,256,100000.0,-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604
2_0,257,92300.0,-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039
6_1,258,94800.0,-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562
3_1,259,102000.0,-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562
5_5,260,158400.0,-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398
4_3,261,121600.0,-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167
4_2,262,129100.0,-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401
6_3,263,121400.0,-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898
4_1,264,102800.0,-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125
0_3,265,160000.0,-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875
5_4,266,143900.0,-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715
5_4,267,151200.0,-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114
4_6,268,164400.0,-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125
4_4,269,156500.0,-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22
0_5,270,225000.0,-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875
1_8,271,174200.0,-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328
1_5,272,166900.0,-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262
3_7,273,163500.0,-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893
0_8,274,253000.0,-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578
1_9,275,240700.0,-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,7.0875
3_6,276,208100.0,-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712
2_3,277,198100.0,-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514
1_2,278,172800.0,-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667
2_8,279,336700.0,-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446
1_9,280,318200.0,-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838
3_9,281,285800.0,-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527
3_9,282,293000.0,-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712
9_8,283,371000.0,-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849
2_5,284,157300.0,-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875
8_3,285,135300.0,-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875
4_4,286,136700.0,-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,3.4205
2_4,287,160700.0,-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,3.2984
0_5,288,140600.0,-122.17,37.78,49.0,893.0,177.0,468.0,181.0,3.875
0_6,289,144000.0,-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175
1_6,290,161900.0,-122.16,37.77,47.0,1256.0,217.0,570.0,218.0,4.375
0_7,291,156300.0,-122.16,37.77,48.0,977.0,194.0,446.0,180.0,4.7708
4_5,292,176000.0,-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739
3_3,293,145800.0,-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958
3_4,294,141900.0,-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958
5_0,295,90700.0,-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,1.871
3_1,296,90600.0,-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,1.9356
4_1,297,107900.0,-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842
3_1,298,107000.0,-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917
3_2,299,98200.0,-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333
1_1,300,89500.0,-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,1.9479
